IDCliente,Dependentes,MesesComoCliente,TipoContrato,FormaPagamento,TotalGasto
1403-GYAFU,Sim,70,2 anos,CartaoCredito,1360.25
4713-LZDRV,Nao,2,Mensal,BoletoEletronico,195.05
1213-NGCUN,Nao,6,Mensal,DebitoAutomatico,267.35
4523-WXCEF,Nao,59,Mensal,BoletoEletronico,6039.9
5747-PMBSQ,Nao,10,Mensal,BoletoImpresso,934.1
4021-RQSNY,Nao,29,Mensal,BoletoEletronico,3004.15
6621-YOBKI,Nao,5,Mensal,BoletoImpresso,92.75
4094-NSEDU,Nao,21,Mensal,BoletoEletronico,1973.75
6341-AEVKX,Nao,62,Anual,BoletoEletronico,6613.65
6479-SZPLM,Sim,36,2 anos,CartaoCredito,754.5
6776-TLWOI,Nao,3,Mensal,BoletoImpresso,64.55
0106-UGRDO,Nao,69,2 anos,BoletoEletronico,8182.85
4030-VPZBD,Nao,2,Mensal,BoletoEletronico,59.05
3106-ULWFW,Nao,8,Mensal,CartaoCredito,627.4
1078-TDCRN,Nao,3,Mensal,BoletoEletronico,82.85
7359-PTSXY,Nao,1,Mensal,BoletoEletronico,45.75
4315-MURBD,Nao,12,Mensal,DebitoAutomatico,1120.95
4360-PNRQB,Nao,18,Mensal,DebitoAutomatico,1395.05
6344-SFJVH,Nao,20,Mensal,CartaoCredito,505.95
7854-EDSSA,Nao,22,Mensal,BoletoEletronico,1254.7
1809-DMJHQ,Sim,5,Mensal,BoletoImpresso,221.7
1535-VTJOQ,Nao,24,2 anos,CartaoCredito,553
9091-WTUUY,Sim,64,2 anos,BoletoImpresso,4447.75
6559-PDZLR,Nao,26,Mensal,BoletoEletronico,2537
9090-SGQXL,Nao,68,Mensal,BoletoEletronico,7299.65
2525-GVKQU,Nao,60,2 anos,BoletoImpresso,1093
2519-TWKFS,Sim,25,Anual,BoletoImpresso,1466.1
5044-XDPYX,Nao,51,2 anos,BoletoImpresso,1281.25
4646-QZXTF,Nao,7,Mensal,DebitoAutomatico,580.1
5986-WWXDV,Sim,39,Anual,DebitoAutomatico,779.2
1027-LKKQQ,Sim,72,2 anos,DebitoAutomatico,5886.85
1194-HVAIF,Nao,27,Mensal,CartaoCredito,2462.55
9711-FJTBX,Sim,56,Anual,BoletoImpresso,4793.8
7416-CKTEP,Nao,57,2 anos,DebitoAutomatico,1134.25
6591-QGOYB,Nao,17,Mensal,DebitoAutomatico,1672.1
5909-ECHUI,Nao,1,Mensal,BoletoEletronico,56.25
7601-GNDYK,Sim,35,2 anos,BoletoImpresso,686.95
5924-IFQTT,Sim,13,Mensal,BoletoEletronico,930.05
2984-RGEYA,Sim,69,2 anos,DebitoAutomatico,1375.4
9374-YOLBJ,Sim,1,Mensal,BoletoEletronico,19.25
0927-LCSMG,Nao,7,Mensal,BoletoImpresso,544.55
8628-MFKAX,Nao,72,2 anos,CartaoCredito,8277.05
7938-OUHIO,Nao,3,Mensal,BoletoEletronico,293.65
7470-DYNOE,Nao,53,Anual,BoletoEletronico,3357.9
2240-HSJQD,Sim,38,Mensal,BoletoImpresso,3141.7
2674-MIAHT,Nao,4,Mensal,BoletoImpresso,324.2
8390-FESFV,Nao,62,2 anos,DebitoAutomatico,5193.2
2273-QCKXA,Nao,1,Mensal,BoletoImpresso,49.05
0239-OXEXL,Nao,46,Mensal,BoletoImpresso,3847.6
0228-MAUWC,Nao,19,Mensal,BoletoEletronico,1144.6
9297-EONCV,Nao,72,2 anos,DebitoAutomatico,6697.2
9650-VBUOG,Sim,38,2 anos,CartaoCredito,963.95
5569-IDSEY,Nao,71,Anual,DebitoAutomatico,7472.15
3473-XIIIT,Nao,16,Mensal,BoletoEletronico,1534.75
6425-YQLLO,Nao,66,Anual,CartaoCredito,6975.25
0094-OIFMO,Nao,11,Mensal,BoletoEletronico,1120.3
7233-PAHHL,Sim,66,2 anos,BoletoImpresso,5714.25
5213-TWWJU,Nao,28,Mensal,BoletoEletronico,2626.15
3751-KTZEL,Nao,1,Mensal,BoletoImpresso,35.05
3831-YCPUO,Sim,72,2 anos,CartaoCredito,7854.9
2892-GESUL,Sim,18,2 anos,BoletoImpresso,309.25
9732-OUYRN,Nao,49,Anual,CartaoCredito,918.7
2080-CAZNM,Nao,41,Mensal,BoletoEletronico,4133.95
0515-YPMCW,Sim,1,Mensal,BoletoImpresso,70.45
1989-PRJHP,Nao,27,Mensal,BoletoEletronico,1893.95
3675-EQOZA,Nao,5,Mensal,DebitoAutomatico,93.55
2144-ESWKO,Nao,43,Anual,CartaoCredito,1463.7
9308-ANMVE,Sim,47,Mensal,BoletoEletronico,2654.05
8885-QSQBX,Nao,1,Mensal,DebitoAutomatico,49.55
9474-PHLYD,Nao,15,Mensal,BoletoEletronico,892.65
1077-HUUJM,Sim,7,Mensal,BoletoEletronico,472.65
4881-GQJTW,Nao,14,Mensal,CartaoCredito,300.4
3503-TYDAY,Nao,43,Mensal,BoletoEletronico,3398.9
2683-BPJSO,Nao,29,Mensal,BoletoEletronico,2467.1
4163-NCJAK,Nao,46,Anual,DebitoAutomatico,1066.15
2229-VWQJH,Nao,24,Mensal,CartaoCredito,1233.25
5294-CDGWY,Sim,51,Anual,BoletoEletronico,3014.65
7781-EWARA,Sim,70,Anual,BoletoEletronico,4138.7
3566-VVORZ,Nao,12,Mensal,DebitoAutomatico,505.95
7526-IVLYU,Nao,3,Mensal,BoletoImpresso,68.35
8058-JMEQO,Nao,9,Mensal,BoletoEletronico,762.5
9938-EKRGF,Nao,15,Mensal,BoletoImpresso,1287.85
0480-KYJVA,Sim,72,2 anos,CartaoCredito,1784.5
2495-TTHBQ,Sim,4,Anual,BoletoImpresso,84.75
7663-YJHSN,Nao,72,2 anos,DebitoAutomatico,7556.9
7665-VIGUD,Nao,10,Anual,BoletoImpresso,176.3
6235-VDHOM,Nao,5,Mensal,BoletoEletronico,131.05
7994-UYIVZ,Nao,8,Mensal,DebitoAutomatico,659.45
6712-OAWRH,Nao,26,Mensal,BoletoEletronico,2351.8
2077-DDHJK,Nao,68,2 anos,CartaoCredito,4911.35
4697-LUPSU,Sim,2,Anual,BoletoImpresso,34.75
3488-PGMQJ,Nao,8,Mensal,BoletoEletronico,606.55
0030-FNXPP,Nao,3,Mensal,BoletoImpresso,57.2
0952-KMEEH,Nao,13,Mensal,BoletoImpresso,1230.25
7594-LZNWR,Nao,34,Mensal,CartaoCredito,2275.1
0769-MURVM,Sim,72,2 anos,DebitoAutomatico,4575.35
8706-HRADD,Nao,21,Mensal,BoletoImpresso,1011.5
2873-ZLIWT,Sim,40,Mensal,BoletoEletronico,3303.05
8208-EUMTE,Nao,16,2 anos,BoletoImpresso,916.15
6933-FHBZC,Nao,26,Anual,BoletoImpresso,1553.2
5536-RTPWK,Nao,49,Mensal,DebitoAutomatico,4853.75
3764-MNMOI,Nao,46,2 anos,CartaoCredito,908.15
5442-XSDCW,Sim,11,Mensal,DebitoAutomatico,868.5
5766-FTRTS,Nao,72,2 anos,BoletoImpresso,6033.1
6961-MJKBO,Nao,47,2 anos,DebitoAutomatico,943
5510-BOIUJ,Sim,1,Mensal,BoletoImpresso,19.25
6917-YACBP,Nao,59,Mensal,BoletoEletronico,5496.9
6461-SZMCV,Nao,71,2 anos,DebitoAutomatico,6365.35
7632-YUTXB,Sim,25,Anual,BoletoImpresso,520.1
8915-NNTRC,Sim,72,2 anos,CartaoCredito,7919.8
9700-ZCLOT,Nao,2,Mensal,BoletoImpresso,32.7
4808-YNLEU,Nao,35,Anual,DebitoAutomatico,2215.45
3324-OIRTO,Sim,71,Anual,DebitoAutomatico,7288.4
6583-KQJLK,Nao,15,Mensal,BoletoEletronico,1285.05
6870-ECSHE,Nao,2,Anual,BoletoImpresso,34.8
6985-HAYWX,Nao,26,Mensal,DebitoAutomatico,2015.8
4184-TJFAN,Sim,3,Mensal,BoletoImpresso,273.75
4039-PIMHX,Nao,49,2 anos,BoletoImpresso,2398.4
0064-YIJGF,Sim,27,Mensal,DebitoAutomatico,1929
1763-WQFUK,Nao,3,Mensal,BoletoImpresso,147.75
1094-BKOSX,Sim,45,Anual,DebitoAutomatico,2264.5
5370-IIVVL,Nao,37,Anual,CartaoCredito,3778
1488-PBLJN,Sim,72,2 anos,DebitoAutomatico,8477.7
0516-UXRMT,Nao,62,Anual,BoletoEletronico,5755.8
8510-TMWYB,Sim,54,2 anos,DebitoAutomatico,3246.45
6967-QIQRV,Sim,15,Anual,BoletoEletronico,1667.25
1349-WXNGG,Nao,1,Mensal,DebitoAutomatico,20.05
1768-ZAIFU,Nao,1,Mensal,BoletoEletronico,25.2
0336-KXKFK,Nao,72,2 anos,CartaoCredito,4390.25
8080-POTJR,Nao,30,Anual,CartaoCredito,2427.1
2190-BCXEC,Nao,40,Mensal,CartaoCredito,3126.85
6253-GNHWH,Sim,71,2 anos,BoletoImpresso,5224.95
2011-TRQYE,Nao,18,Mensal,CartaoCredito,600
4987-GQWPO,Nao,17,Mensal,CartaoCredito,382.8
4735-BJKOU,Nao,40,2 anos,BoletoImpresso,804.85
2499-AJYUA,Nao,72,2 anos,CartaoCredito,7882.25
3936-QQFLL,Nao,2,Mensal,BoletoImpresso,39.3
3251-YMVWZ,Nao,53,Anual,DebitoAutomatico,1301.9
8879-XUAHX,Nao,71,2 anos,BoletoEletronico,8564.75
2604-IJPDU,Nao,20,Mensal,BoletoEletronico,1901.65
4320-QMLLA,Nao,7,Mensal,BoletoImpresso,370.4
5609-IMCGG,Nao,15,Mensal,CartaoCredito,1302.65
1820-DJFPH,Sim,72,2 anos,DebitoAutomatico,1709.15
8859-AXJZP,Sim,39,2 anos,BoletoImpresso,903.8
3284-SVCRO,Nao,45,2 anos,BoletoImpresso,1121.05
8739-XNIKG,Nao,5,Mensal,BoletoEletronico,424.75
6810-VCAEX,Nao,47,Anual,CartaoCredito,1798.65
4396-KLSEH,Nao,4,Mensal,BoletoEletronico,63
9079-LWTFD,Nao,47,Mensal,BoletoImpresso,4669.2
9921-EZKBY,Sim,33,Mensal,DebitoAutomatico,3275.15
8404-VLQFB,Sim,15,Mensal,BoletoEletronico,394.85
0130-SXOUN,Nao,66,Mensal,CartaoCredito,5976.9
8780-IXSTS,Nao,6,Mensal,BoletoEletronico,521.3
3824-RHKVR,Nao,17,Mensal,CartaoCredito,340.35
2359-KLTEK,Sim,41,Mensal,DebitoAutomatico,3848
1091-SOZGA,Sim,56,Anual,CartaoCredito,5515.45
2155-AMQRX,Nao,28,Mensal,CartaoCredito,1505.15
3704-IEAXF,Sim,72,2 anos,CartaoCredito,3784
7312-XSBAT,Nao,1,Mensal,BoletoEletronico,49.75
4010-YLMVT,Nao,56,Mensal,CartaoCredito,5893.95
5915-ANOEI,Nao,70,2 anos,BoletoImpresso,5536.5
8679-LZBMD,Nao,44,Anual,DebitoAutomatico,3974.15
2372-HWUHI,Nao,2,Mensal,BoletoEletronico,81.25
7162-WPHPM,Sim,58,2 anos,CartaoCredito,4230.25
8822-KNBHV,Nao,48,Anual,CartaoCredito,3887.85
0315-LVCRK,Nao,11,Mensal,BoletoEletronico,888.75
8263-QMNTJ,Nao,72,2 anos,BoletoEletronico,8425.3
0526-SXDJP,Nao,72,2 anos,DebitoAutomatico,2962
5201-USSQZ,Nao,26,Mensal,CartaoCredito,2196.45
4132-POCZS,Nao,52,Mensal,BoletoEletronico,2020.9
9257-AZMTZ,Sim,52,2 anos,DebitoAutomatico,1078.75
5447-VYTKW,Nao,27,Mensal,BoletoImpresso,1461.45
5960-WPXQM,Nao,1,Mensal,BoletoEletronico,79.05
2826-UWHIS,Nao,45,Mensal,DebitoAutomatico,3775.85
7251-XFOIL,Nao,61,Mensal,BoletoImpresso,5500.6
6923-JHPMP,Nao,2,Mensal,BoletoEletronico,137.1
1373-ORVIZ,Sim,11,Mensal,BoletoEletronico,740.8
8220-OCUFY,Nao,21,Anual,BoletoEletronico,1258.35
9488-HGMJH,Nao,1,Mensal,BoletoEletronico,71.15
2446-BEGGB,Nao,6,Mensal,BoletoEletronico,560.6
5781-RFZRP,Nao,71,2 anos,CartaoCredito,5357.75
0973-KYVNF,Sim,72,2 anos,CartaoCredito,5011.15
3740-RLMVT,Nao,67,Anual,DebitoAutomatico,4119.4
5837-LXSDN,Sim,21,Anual,CartaoCredito,1215.45
0404-AHASP,Nao,72,2 anos,CartaoCredito,1421.9
1934-MKPXS,Sim,33,Anual,CartaoCredito,620.55
3049-SOLAY,Nao,3,Mensal,BoletoEletronico,292.85
8914-RBTSB,Nao,31,Mensal,BoletoEletronico,3019.5
1925-LFCZZ,Nao,55,Anual,DebitoAutomatico,2743.45
8372-JUXUI,Sim,1,Mensal,BoletoEletronico,74.35
5863-OOKCL,Nao,10,Mensal,BoletoImpresso,163.2
8262-COGGB,Nao,1,Mensal,BoletoImpresso,20.45
3320-VEOYC,Nao,14,Mensal,BoletoEletronico,1273.3
1096-ADRUX,Sim,66,Anual,DebitoAutomatico,4859.25
5668-MEISB,Sim,72,2 anos,CartaoCredito,7657.4
4801-JZAZL,Sim,11,Mensal,BoletoEletronico,346.45
6578-KRMAW,Nao,32,Mensal,CartaoCredito,2979.3
8884-ADFVN,Nao,7,Mensal,BoletoEletronico,700.85
6933-VLYFX,Sim,31,Anual,BoletoEletronico,1848.8
4825-XJGDM,Nao,61,Anual,CartaoCredito,2696.55
1846-XWOQN,Nao,1,Mensal,BoletoEletronico,70.15
8089-UZWLX,Nao,71,2 anos,DebitoAutomatico,7413.55
5940-AHUHD,Nao,1,Mensal,BoletoImpresso,70.6
0432-CAJZV,Nao,3,Mensal,BoletoImpresso,237.65
3249-ZPQRG,Nao,4,Mensal,BoletoEletronico,330.05
6726-WEXXK,Nao,27,Anual,BoletoEletronico,2220.1
2984-AFWNC,Nao,3,Mensal,BoletoEletronico,293.15
9122-UMROB,Nao,1,Mensal,BoletoImpresso,20.3
0238-WHBIQ,Sim,72,2 anos,CartaoCredito,6339.3
2405-LBMUW,Sim,61,Anual,DebitoAutomatico,3088.75
5153-LXKDT,Sim,68,2 anos,BoletoEletronico,7467.5
3007-FDPEA,Nao,2,Mensal,DebitoAutomatico,39.85
2791-SFVEW,Nao,9,Mensal,DebitoAutomatico,238.15
6265-FRMTQ,Nao,31,2 anos,DebitoAutomatico,609.1
6680-WKXRZ,Nao,3,Mensal,DebitoAutomatico,215.8
3174-RKMOW,Sim,35,Mensal,BoletoEletronico,3782.4
0829-DDVLK,Nao,15,Anual,CartaoCredito,302.45
1415-YFWLT,Nao,1,Mensal,BoletoEletronico,89.3
7599-FKVXZ,Nao,42,Mensal,DebitoAutomatico,4512.7
5692-FPTAH,Nao,1,Mensal,BoletoImpresso,45.4
0020-INWCK,Sim,71,2 anos,CartaoCredito,6849.4
3170-NMYVV,Sim,50,2 anos,DebitoAutomatico,930.9
8807-OPMBM,Sim,55,2 anos,CartaoCredito,1388
3557-HTYWR,Nao,47,2 anos,BoletoImpresso,3496.3
7552-KEYGT,Nao,27,2 anos,DebitoAutomatico,520.55
6061-PQHMK,Nao,25,Anual,CartaoCredito,527.5
6907-NZZIJ,Nao,36,Mensal,BoletoEletronico,3615.6
2252-ISRNH,Sim,9,Anual,BoletoEletronico,767.9
0481-SUMCB,Nao,45,Anual,DebitoAutomatico,4735.35
4737-HOBAX,Nao,63,2 anos,CartaoCredito,5034.05
3780-YVMFA,Sim,8,Mensal,BoletoEletronico,564.35
8908-NMQTX,Nao,72,2 anos,DebitoAutomatico,4566.5
2955-BJZHG,Sim,17,Mensal,BoletoEletronico,1400.85
9776-CLUJA,Nao,51,Mensal,BoletoEletronico,3807.35
9030-QGZNL,Nao,8,2 anos,BoletoImpresso,161.65
0268-QKIWO,Nao,3,Mensal,BoletoEletronico,58.85
1555-HAPSU,Sim,71,2 anos,CartaoCredito,1663.5
6435-VWCCY,Nao,65,2 anos,CartaoCredito,5968.4
1320-GVNHT,Sim,72,2 anos,CartaoCredito,7767.25
5275-PMFUT,Sim,72,2 anos,CartaoCredito,4719.75
2988-QRAJY,Nao,69,2 anos,CartaoCredito,7430.75
7274-CGTOD,Nao,62,2 anos,DebitoAutomatico,2618.3
0442-ZXKVS,Nao,54,Anual,DebitoAutomatico,6431.05
1407-DIGZV,Sim,3,2 anos,BoletoImpresso,52
9069-LGEUL,Nao,23,Mensal,DebitoAutomatico,1406
9046-DQMTP,Nao,35,Mensal,DebitoAutomatico,739.9
6075-QMNRR,Nao,52,Mensal,DebitoAutomatico,2535.55
5091-HFAZW,Nao,2,Mensal,BoletoEletronico,168.5
9135-HSWOC,Sim,64,2 anos,DebitoAutomatico,1274.05
7365-BVCJH,Nao,1,Mensal,BoletoEletronico,24.4
4450-MDZFX,Sim,60,Mensal,DebitoAutomatico,4453.3
7384-GHBPI,Nao,3,Mensal,BoletoEletronico,99.75
0392-BZIUW,Nao,72,2 anos,CartaoCredito,7589.8
3916-NRPAP,Nao,3,Mensal,CartaoCredito,256.75
1744-JHKYS,Nao,34,Mensal,BoletoEletronico,780.2
2842-BCQGE,Nao,43,Mensal,CartaoCredito,3161.4
7134-MJPDY,Nao,66,Anual,CartaoCredito,6976.75
5555-RNPGT,Sim,10,Mensal,CartaoCredito,223.9
0520-FDVVT,Nao,35,Anual,DebitoAutomatico,3626.1
0670-KDOMA,Nao,1,Mensal,BoletoImpresso,20.25
0655-YDGFJ,Nao,29,Mensal,DebitoAutomatico,1323.7
8329-GWVPJ,Sim,50,Mensal,DebitoAutomatico,3557.7
8816-VXNZD,Nao,1,Mensal,BoletoEletronico,75.1
0895-LMRSF,Nao,23,Anual,DebitoAutomatico,1509.8
9283-LZQOH,Sim,13,Mensal,CartaoCredito,896.75
9577-WJVCQ,Nao,68,Mensal,BoletoImpresso,3687.75
4452-ROHMO,Nao,15,2 anos,BoletoImpresso,331.6
4682-BLBUC,Nao,44,Anual,BoletoEletronico,3250.45
9812-GHVRI,Nao,40,Mensal,DebitoAutomatico,3532.25
7601-DHFWZ,Nao,48,2 anos,CartaoCredito,1183.05
0817-HSUSE,Nao,1,Mensal,BoletoEletronico,75.5
4598-ZADCK,Nao,53,Anual,BoletoEletronico,2879.2
7883-ROJOC,Nao,19,Mensal,BoletoImpresso,839.65
6145-NNPNO,Nao,1,Mensal,DebitoAutomatico,44.15
9738-QLWTP,Nao,39,Anual,BoletoEletronico,3219.75
9154-QDGTH,Sim,43,Anual,CartaoCredito,4451.85
9430-FRQOC,Sim,4,Mensal,BoletoImpresso,341.45
7998-WNZEM,Nao,71,2 anos,DebitoAutomatico,5708.2
2195-ZRVAX,Nao,47,Mensal,BoletoEletronico,4045.65
9722-UJOJR,Sim,29,Mensal,BoletoEletronico,1974.8
8224-UAXBZ,Nao,58,Anual,BoletoEletronico,2540.1
8614-VGMMV,Nao,15,Mensal,BoletoEletronico,679.55
2904-GGUAZ,Nao,72,2 anos,DebitoAutomatico,6052.25
6397-JNZZG,Nao,43,Mensal,CartaoCredito,2342.2
4598-XLKNJ,Nao,25,Mensal,BoletoEletronico,2514.5
8739-QOTTN,Nao,2,Mensal,BoletoImpresso,41.85
1635-FJFCC,Nao,5,Mensal,CartaoCredito,202.15
1794-SWWKL,Sim,15,Mensal,DebitoAutomatico,867.1
0486-LGCCH,Sim,11,2 anos,BoletoImpresso,225.75
6509-TSGWN,Sim,37,Mensal,BoletoImpresso,911.6
4078-SAYYN,Nao,11,Mensal,BoletoEletronico,1129.75
7088-FBAWU,Sim,17,Mensal,BoletoImpresso,1215.8
5268-DSMNQ,Nao,62,Anual,CartaoCredito,5936.55
1666-JZPZT,Nao,27,Mensal,BoletoImpresso,1291.35
9621-OUPYD,Nao,25,Anual,DebitoAutomatico,507.9
0608-JDVEC,Nao,50,2 anos,BoletoEletronico,1013.2
0979-PHULV,Sim,69,Mensal,CartaoCredito,7007.6
9891-NQDBD,Nao,28,Anual,BoletoImpresso,672.2
6169-PPETC,Sim,35,2 anos,DebitoAutomatico,759.35
8873-TMKGR,Nao,29,Anual,BoletoImpresso,529.5
4832-VRBMR,Nao,65,Anual,DebitoAutomatico,6792.45
2878-DHMIN,Sim,35,Anual,BoletoEletronico,666
6582-PLFUU,Sim,51,2 anos,CartaoCredito,1086.75
3859-CVCET,Nao,4,Mensal,BoletoImpresso,191.05
2040-LDIWQ,Sim,65,2 anos,DebitoAutomatico,5324.5
3511-APPBJ,Nao,23,Anual,CartaoCredito,2292.75
3865-QBWSJ,Sim,38,Mensal,BoletoImpresso,3162.65
5019-GQVCR,Nao,43,Mensal,BoletoEletronico,3645.6
5197-YPYBZ,Sim,12,2 anos,CartaoCredito,274.7
4837-QUSFT,Nao,65,Anual,DebitoAutomatico,6643.5
0916-QOFDP,Sim,14,Mensal,BoletoEletronico,1346.3
6331-EWIEB,Nao,20,Mensal,BoletoEletronico,1734.5
5181-OABFK,Sim,56,2 anos,CartaoCredito,3346.8
6743-HHQPF,Nao,42,Mensal,CartaoCredito,1097.15
1391-UBDAR,Nao,11,Mensal,BoletoEletronico,818.45
7314-OXENN,Nao,2,Mensal,BoletoEletronico,184.65
1465-WCZVT,Sim,3,Mensal,BoletoImpresso,60.65
3428-XZMAZ,Nao,1,Mensal,BoletoEletronico,69.35
1093-YSWCA,Nao,11,2 anos,CartaoCredito,223.15
1230-QAJDW,Nao,3,Mensal,BoletoImpresso,209.9
8605-ITULD,Nao,1,Mensal,BoletoImpresso,19.55
2181-TIDSV,Sim,68,2 anos,DebitoAutomatico,1303.25
1722-LDZJS,Sim,53,Anual,CartaoCredito,1068.15
5298-GSTLM,Nao,60,Anual,DebitoAutomatico,6176.6
4274-DRSQT,Nao,66,Anual,DebitoAutomatico,6000.1
9473-CBZOP,Nao,28,Anual,BoletoImpresso,1654.45
6705-LXORM,Nao,5,Mensal,BoletoEletronico,302.6
2778-OCLGR,Nao,24,Mensal,DebitoAutomatico,971.3
5906-CVLHP,Sim,45,Anual,CartaoCredito,2319.8
6137-NICCO,Sim,6,Mensal,BoletoImpresso,518.75
8348-JLBUG,Nao,64,Anual,CartaoCredito,5017.7
1930-WNXSB,Sim,58,Mensal,BoletoEletronico,5305.05
6015-VVHHE,Nao,5,Mensal,CartaoCredito,446.05
7869-ZYDST,Nao,31,Mensal,CartaoCredito,1882.8
0939-YAPAF,Nao,35,Mensal,BoletoEletronico,3527.6
9294-TDIPC,Sim,5,Mensal,BoletoImpresso,83.75
6692-YQHXC,Nao,16,Mensal,CartaoCredito,1205.5
8999-XXGNS,Nao,72,Anual,CartaoCredito,7629.85
1150-FTQGN,Sim,60,Anual,DebitoAutomatico,5811.8
6651-RLGGM,Sim,67,2 anos,BoletoImpresso,1688.9
5684-FJVYR,Sim,72,2 anos,DebitoAutomatico,6563.4
9447-YPTBX,Nao,50,Anual,DebitoAutomatico,943.1
2740-JFBOK,Nao,10,Mensal,BoletoEletronico,226.55
6108-OQZDQ,Sim,4,Mensal,BoletoEletronico,384.5
0722-TROQR,Nao,4,Mensal,BoletoEletronico,321.75
2504-DSHIH,Nao,23,Mensal,BoletoEletronico,1975.85
6229-LSCKB,Nao,6,Mensal,BoletoEletronico,497.6
9169-BSVIN,Nao,12,Mensal,DebitoAutomatico,827.05
9512-PHSMG,Nao,10,Mensal,BoletoImpresso,252.75
1319-YLZJG,Nao,12,Mensal,BoletoEletronico,959.9
0628-CNQRM,Sim,22,Anual,DebitoAutomatico,1544.05
2452-SNHFZ,Nao,47,Mensal,CartaoCredito,3545.1
7079-QRCBC,Nao,24,Mensal,BoletoEletronico,2407.3
0866-QLSIR,Nao,34,Anual,BoletoImpresso,2088.75
6549-YMFAW,Nao,9,Mensal,BoletoImpresso,204.55
0618-XWMSS,Sim,28,Mensal,DebitoAutomatico,2068.55
2954-PIBKO,Sim,69,2 anos,CartaoCredito,4254.1
4450-YOOHP,Nao,39,Mensal,CartaoCredito,1905.4
1258-YMZNM,Nao,27,Anual,DebitoAutomatico,2857.6
5857-XRECV,Sim,2,Anual,DebitoAutomatico,38.25
7298-IZWLY,Nao,1,Mensal,BoletoImpresso,19.4
8079-XRJRS,Nao,65,Anual,BoletoEletronico,5769.6
3482-ABPKK,Nao,28,Anual,BoletoImpresso,1546.3
7613-LLQFO,Nao,12,Mensal,BoletoEletronico,1059.55
0390-DCFDQ,Nao,1,Mensal,BoletoImpresso,70.45
2640-PMGFL,Sim,27,Mensal,BoletoEletronico,2180.55
7008-LZVOZ,Sim,66,2 anos,CartaoCredito,1672.35
7921-BEPCI,Nao,72,2 anos,DebitoAutomatico,4265
2205-LPVGL,Sim,58,Anual,DebitoAutomatico,5125.75
3811-VBYBZ,Nao,7,Mensal,BoletoEletronico,673.25
2979-SXESE,Sim,17,Mensal,BoletoEletronico,1607.2
1299-AURJA,Sim,70,2 anos,DebitoAutomatico,1685.9
9244-ZVAPM,Nao,1,Mensal,BoletoImpresso,45.6
8592-PLTMQ,Nao,64,Anual,BoletoImpresso,1642.75
3537-HPKQT,Nao,55,Mensal,CartaoCredito,4266.4
0549-CYCQN,Nao,51,Anual,DebitoAutomatico,3974.7
4548-SDBKE,Nao,5,Mensal,BoletoEletronico,474.8
1557-EMYVT,Nao,43,2 anos,CartaoCredito,4895.1
7056-IMHCC,Nao,53,Mensal,BoletoEletronico,5549.4
9625-RZFUK,Sim,63,2 anos,BoletoImpresso,1275.85
2346-CZYIL,Nao,27,2 anos,CartaoCredito,531.6
5760-WRAHC,Nao,22,Mensal,BoletoImpresso,1545.4
4369-HTUIF,Nao,6,Mensal,DebitoAutomatico,503.6
5898-IGSLP,Sim,31,Mensal,BoletoEletronico,2823
2250-IVBWA,Sim,64,Mensal,BoletoEletronico,5135.35
5324-KTGCG,Nao,71,Anual,BoletoEletronico,1539.75
8819-WFGGJ,Nao,68,2 anos,DebitoAutomatico,3794.5
9108-EJFJP,Nao,1,Mensal,BoletoImpresso,53.55
7426-GSWPO,Nao,64,Mensal,DebitoAutomatico,6548.65
3234-VKACU,Nao,2,Mensal,BoletoEletronico,132.4
5522-JBWMO,Sim,1,Mensal,BoletoEletronico,44
1104-FEJAM,Sim,28,Mensal,BoletoEletronico,1802.15
5067-DGXLL,Nao,2,Mensal,BoletoImpresso,36.8
3398-GCPMU,Sim,72,2 anos,CartaoCredito,6448.85
3736-BLEPA,Nao,28,Anual,DebitoAutomatico,2483.65
2696-ECXKC,Sim,55,Anual,BoletoImpresso,5448.6
2296-DKZFP,Nao,65,2 anos,DebitoAutomatico,4386.2
9971-ZWPBF,Sim,34,Mensal,BoletoEletronico,3625.2
2634-HCZGT,Nao,53,Anual,BoletoEletronico,3229.65
7696-CFTAT,Sim,37,2 anos,DebitoAutomatico,726.1
2189-WWOEW,Sim,15,Mensal,DebitoAutomatico,1269.55
5702-KVQRD,Nao,71,2 anos,BoletoEletronico,5832.65
4343-EJVQB,Nao,7,Mensal,BoletoImpresso,533.6
3022-BEXHZ,Sim,67,2 anos,DebitoAutomatico,7530.8
2279-AXJJK,Nao,52,Mensal,CartaoCredito,5088.4
8213-TAZPM,Sim,69,Anual,DebitoAutomatico,7493.05
6778-EICRF,Sim,24,Anual,BoletoImpresso,1821.2
2272-UOINI,Nao,7,Mensal,BoletoEletronico,571.05
7452-FOLON,Sim,39,Anual,DebitoAutomatico,958.45
1215-EXRMO,Nao,50,2 anos,BoletoImpresso,1067.65
9571-EDEBV,Nao,71,Anual,CartaoCredito,6962.85
0854-UYHZD,Sim,13,2 anos,BoletoImpresso,265.3
8992-CEUEN,Nao,1,Mensal,BoletoEletronico,18.85
0082-OQIQY,Nao,29,Mensal,BoletoEletronico,2607.6
0822-QGCXA,Nao,27,Mensal,BoletoEletronico,2310.2
5306-BVTKJ,Sim,48,Anual,CartaoCredito,2651.2
2472-OVKUP,Nao,6,Mensal,BoletoEletronico,531
8097-OMULG,Sim,59,Anual,CartaoCredito,4541.9
